Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Lengths,Bwd Packet Lengths,Flow Bytes/s,Flow Packets/s,Flow IATs,Last Seen,Fwd IATs,Bwd IATs,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Header Length,Bwd Header Length
172.16.82.152-172.16.255.255-0-0-UDP,172.16.82.152,0,172.16.255.255,0,UDP,1747577524.2305813,0.0,1,0,175,0,[175],[],175,1,[0.0],1747577524.2305813,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.72.59-172.16.255.255-0-0-UDP,172.16.72.59,0,172.16.255.255,0,UDP,1747577524.23907,0.0,1,0,594,0,[594],[],594,1,[0.0],1747577524.23907,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.71.126-172.16.255.255-0-0-UDP,172.16.71.126,0,172.16.255.255,0,UDP,1747577524.2405863,0.0,1,0,594,0,[594],[],594,1,[0.0],1747577524.2405863,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
192.168.1.1-224.0.0.252-0-0-PROTO-2,192.168.1.1,0,224.0.0.252,0,PROTO-2,1747577524.5270016,10554.55207824707,2,0,120,0,"[60, 60]",[],120,2,"[0.0, 0.01055455207824707]",1747577524.5375562,"[0.0, 0.01055455207824707]",[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.73.93-224.0.0.252-0-0-UDP,172.16.73.93,0,224.0.0.252,0,UDP,1747577524.5740247,620678.186416626,2,0,150,0,"[75, 75]",[],150,2,"[0.0, 0.620678186416626]",1747577525.1947029,"[0.0, 0.620678186416626]",[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.65.114-255.255.255.255-0-0-UDP,172.16.65.114,0,255.255.255.255,0,UDP,1747577524.5766726,0.0,1,0,864,0,[864],[],864,1,[0.0],1747577524.5766726,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.77.91-172.16.255.255-0-0-UDP,172.16.77.91,0,172.16.255.255,0,UDP,1747577524.8578858,0.0,1,0,594,0,[594],[],594,1,[0.0],1747577524.8578858,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.72.225-224.0.0.252-0-0-PROTO-2,172.16.72.225,0,224.0.0.252,0,PROTO-2,1747577525.0818932,0.0,1,0,46,0,[46],[],46,1,[0.0],1747577525.0818932,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.75.200-172.16.255.255-0-0-UDP,172.16.75.200,0,172.16.255.255,0,UDP,1747577525.6415753,0.0,1,0,594,0,[594],[],594,1,[0.0],1747577525.6415753,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.65.115-255.255.255.255-0-0-UDP,172.16.65.115,0,255.255.255.255,0,UDP,1747577526.2045074,0.0,1,0,864,0,[864],[],864,1,[0.0],1747577526.2045074,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.65.109-255.255.255.255-0-0-UDP,172.16.65.109,0,255.255.255.255,0,UDP,1747577526.316891,0.0,1,0,865,0,[865],[],865,1,[0.0],1747577526.316891,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.65.117-255.255.255.255-0-0-UDP,172.16.65.117,0,255.255.255.255,0,UDP,1747577526.6527073,0.0,1,0,864,0,[864],[],864,1,[0.0],1747577526.6527073,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
172.16.65.106-172.16.255.255-0-0-UDP,172.16.65.106,0,172.16.255.255,0,UDP,1747577526.764326,0.0,1,0,376,0,[376],[],376,1,[0.0],1747577526.764326,[0.0],[],0,0,0,0,0,0,0,0,0,0,0,0
